Year,Dtl_nm,Dtl_val
1960,Qtr1_sales_mil,0.71
1960,Qtr2_sales_mil,0.63
1960,Qtr3_sales_mil,0.85
1960,Qtr4_sales_mil,0.44
1961,Qtr1_sales_mil,0.61
1961,Qtr2_sales_mil,0.69
1961,Qtr3_sales_mil,0.92
1961,Qtr4_sales_mil,0.55
1962,Qtr1_sales_mil,0.72
1962,Qtr2_sales_mil,0.77
1962,Qtr3_sales_mil,0.92
1962,Qtr4_sales_mil,0.6
1963,Qtr1_sales_mil,0.83
1963,Qtr2_sales_mil,0.8
1963,Qtr3_sales_mil,1
1963,Qtr4_sales_mil,0.77
1964,Qtr1_sales_mil,0.92
1964,Qtr2_sales_mil,1
1964,Qtr3_sales_mil,1.24
1964,Qtr4_sales_mil,1
1965,Qtr1_sales_mil,1.16
1965,Qtr2_sales_mil,1.3
1965,Qtr3_sales_mil,1.45
1965,Qtr4_sales_mil,1.25
1966,Qtr1_sales_mil,1.26
1966,Qtr2_sales_mil,1.38
1966,Qtr3_sales_mil,1.86
1966,Qtr4_sales_mil,1.56
1967,Qtr1_sales_mil,1.53
1967,Qtr2_sales_mil,1.59
1967,Qtr3_sales_mil,1.83
1967,Qtr4_sales_mil,1.86
1968,Qtr1_sales_mil,1.53
1968,Qtr2_sales_mil,2.07
1968,Qtr3_sales_mil,2.34
1968,Qtr4_sales_mil,2.25
1969,Qtr1_sales_mil,2.16
1969,Qtr2_sales_mil,2.43
1969,Qtr3_sales_mil,2.7
1969,Qtr4_sales_mil,2.25
1970,Qtr1_sales_mil,2.79
1970,Qtr2_sales_mil,3.42
1970,Qtr3_sales_mil,3.69
1970,Qtr4_sales_mil,3.6
1971,Qtr1_sales_mil,3.6
1971,Qtr2_sales_mil,4.32
1971,Qtr3_sales_mil,4.32
1971,Qtr4_sales_mil,4.05
1972,Qtr1_sales_mil,4.86
1972,Qtr2_sales_mil,5.04
1972,Qtr3_sales_mil,5.04
1972,Qtr4_sales_mil,4.41
1973,Qtr1_sales_mil,5.58
1973,Qtr2_sales_mil,5.85
1973,Qtr3_sales_mil,6.57
1973,Qtr4_sales_mil,5.31
1974,Qtr1_sales_mil,6.03
1974,Qtr2_sales_mil,6.39
1974,Qtr3_sales_mil,6.93
1974,Qtr4_sales_mil,5.85
1975,Qtr1_sales_mil,6.93
1975,Qtr2_sales_mil,7.74
1975,Qtr3_sales_mil,7.83
1975,Qtr4_sales_mil,6.12
1976,Qtr1_sales_mil,7.74
1976,Qtr2_sales_mil,8.91
1976,Qtr3_sales_mil,8.28
1976,Qtr4_sales_mil,6.84
1977,Qtr1_sales_mil,9.54
1977,Qtr2_sales_mil,10.26
1977,Qtr3_sales_mil,9.54
1977,Qtr4_sales_mil,8.73
1978,Qtr1_sales_mil,11.88
1978,Qtr2_sales_mil,12.06
1978,Qtr3_sales_mil,12.15
1978,Qtr4_sales_mil,8.91
1979,Qtr1_sales_mil,14.04
1979,Qtr2_sales_mil,12.96
1979,Qtr3_sales_mil,14.85
1979,Qtr4_sales_mil,9.99
1980,Qtr1_sales_mil,16.2
1980,Qtr2_sales_mil,14.67
1980,Qtr3_sales_mil,16.02
1980,Qtr4_sales_mil,11.61
